figure,panel,notebook_section,primary_functions,core_input,resource_table_or_output,status,notes
Figure 2,2a,Fig. 2a — workflow,None (manual artwork),manuscript.docx,reference_docx_media/image2.png,manual,Workflow schematic is not code generated.
Figure 2,2b,Fig. 2b — patient sampling response and 6-month PFS,plot_cns_clinical_matrix,clinical_20260420.xlsx,resources/Figure2/Fig2b_clinical_sampling_matrix.csv,confirmed,Confirmed use of plot_cns_clinical_matrix.
Figure 2,2c,Fig. 2c — baseline cell-subset frequency,calculate_cluster_diff; plot_cell_frequency_volcano,metadata_final.rds,resources/Figure2/Fig2c_baseline_cell_frequency.csv,confirmed,Uses D0 PFS>6 vs PFS<6 groups and part method.
Figure 2,2d,Fig. 2d — five-axis immune-program framework,immune_programs_targeted,data/program definitions,resources/Figure2/Fig2d_immune_program_definitions.csv,manual,Visual schematic is manual; program table is exported.
Figure 2,2e,Fig. 2e — D0 program heatmap,calculate_targeted_patient_scores; plot_patient_program_heatmap,seurat_filtered.rds,resources/Figure2/Fig2e_D0_patient_program_scores.csv,confirmed,Uses AddModuleScore and D0 baseline cells.
Figure 2,2f,Fig. 2f — selected D0 programmes by PFS,calculate_targeted_patient_scores; plot_program_boxplot_from_score_res,seurat_filtered.rds,resources/Figure2/Fig2f_selected_baseline_program_scores.csv,confirmed,Uses AddModuleScore.
Figure 2,2g,Fig. 2g — baseline PFS associations,plot_stage_cell_survival; plot_geneset_pseudobulk_survival_v3,seurat_filtered.rds; metadata_final.rds,resources/Figure2/Fig2g_CD4_LAG3_checkpoint_exhaustion_PFS_resource.csv,confirmed,Uses final pfs_status field; CD4_LAG3 checkpoint score call is confirmed.
Figure 3,3a,Fig. 3a — D7 versus D0 immune-cell subsets,calculate_cluster_diff,metadata_final.rds,resources/Figure3/Fig3a_D7_vs_D0_cell_frequency.csv,confirmed,Uses confirmed calculate_cluster_diff configuration.
Figure 3,3b,Fig. 3b — immune-program D0-to-D7 change,calculate_targeted_sample_diffs; plot_program_volcano,seurat_filtered.rds,resources/Figure3/Fig3b_immune_program_change.csv,derived,Function and sequence extracted from original notebook.
Figure 3,3c,Fig. 3c — longitudinal programme scores,calculate_targeted_patient_scores_all_samples; plot_program_boxplot_from_score_res,seurat_filtered.rds,resources/Figure3/Fig3c_longitudinal_program_scores.csv,confirmed,Uses supplied four programs and AddModuleScore.
Figure 3,3d,Fig. 3d — cytotoxic gene expression,get_sample_level_degs_specific; Seurat::DotPlot,seurat_filtered.rds,resources/Figure3/Fig3d_dotplot_resource.csv,derived,Reconstructed from original CD8 sample-DEG and DotPlot cells.
Figure 3,3e,Fig. 3e — Treg/LAG3 correlation,plot_celltype_correlation,metadata_final.rds,resources/Figure3/Fig3e_Treg_vs_LAG3_correlation.csv,derived,Source function extracted and panel order retained.
Figure 3,3f,Fig. 3f — STARTRAC expansion,calc_startrac_expansion,metadata_final.rds; tcr_annotation.rds,resources/Figure3/Fig3f_STARTRAC_expansion.csv,confirmed,Uses supplied CD4_Treg/CD4_LAG3 faceted boxplot code.
Figure 3,3g,Fig. 3g — liver-metastasis abundance,plot_clusters_group,metadata_final.rds,resources/Figure3/Fig3g_liver_metastasis_abundance.csv,derived,Function extracted from original notebook.
Figure 3,3h,Fig. 3h — programme-score correlation,plot_geneset_correlation,metadata_final.rds; seurat_filtered.rds,resources/Figure3/Fig3h_Treg_CD8_cytotoxicity_resource.csv,confirmed,User-confirmed D7 CD4_Treg proportion versus CD8 cytotoxicity score.
Figure 3,3i,Fig. 3i — Neu_CXCR2 and PFS,plot_stage_cell_survival,metadata_final.rds,resources/Figure3/Fig3i_Neu_CXCR2_PFS_resource.csv,derived,Stage-specific cell abundance survival panel.
Figure 3,3j,Fig. 3j — CD4_Treg D7/D0 ratio and PFS,plot_ratio_pfs_correlation,metadata_final.rds,resources/Figure3/Fig3j_CD4_Treg_ratio_PFS_resource.csv,derived,Original PFS ratio call located.
Figure 3,3k,Fig. 3k — CD4_Treg D7/D0 ratio and OS,plot_ratio_pfs_correlation,metadata_final.rds,resources/Figure3/Fig3k_CD4_Treg_ratio_OS_resource.csv,confirmed,User-confirmed os_time call; supplied title text retains PFS while y-axis is OS time.
Figure 3,3l,Fig. 3l — proposed model,None (manual artwork),manuscript.docx,outputs/reference_restoration/Figure3_full_reference_from_manuscript.png,manual,Conceptual model is not code generated.
